Congressmember Name,Congressmember Role
"Comer, James","Representative for Kentucky's 1st congressional district, 2016-2020"
"Conaway, Michael","Representative for Texas's 11th congressional district, 2005-2020"
"Connolly, Gerald","Representative for Virginia's 11th congressional district, 2009-2020"
"Cook, Paul","Representative for California's 8th congressional district, 2013-2020"
"Coons, Chris","Junior Senator for Delaware, 2010-2020"
"Cooper, Jim","Representative for Tennessee's 5th congressional district, 2003-2020"
"Cornyn, John","Senior Senator for Texas, 2002-2020"
"Correa, Luis","Representative for California's 46th congressional district, 2017-2020"
"Cortez Masto, Catherine","Senior Senator for Nevada, 2017-2022"
"Costa, Jim","Representative for California's 16th congressional district, 2013-2020"
"Cotton, Tom","Junior Senator for Arkansas, 2015-2020"
"Courtney, Joe","Representative for Connecticut's 2nd congressional district, 2007-2020"
"Cox, TJ","Representative for California's 21st congressional district, 2019-2020"
"Craig, Angie","Representative for Minnesota's 2nd congressional district, 2019-2020"
"Cramer, Kevin","Junior Senator for North Dakota, 2019-2024"
"Crapo, Michael","Senior Senator for Idaho, 1999-2022"
"Crawford, Eric “Rick”","Representative for Arkansas's 1st congressional district, 2011-2020"
"Crenshaw, Dan","Representative for Texas's 2nd congressional district, 2019-2020"
"Crist, Charlie","Representative for Florida's 13th congressional district, 2017-2020"
"Crow, Jason","Representative for Colorado's 6th congressional district, 2019-2020"
"Cruz, Ted","Junior Senator for Texas, 2013-2024"
"Cuellar, Henry","Representative for Texas's 28th congressional district, 2005-2020"
"Cunningham, Joe","Representative for South Carolina's 1st congressional district, 2019-2020"
"Curtis, John","Representative for Utah's 3rd congressional district, 2017-2020"
"Cárdenas, Tony","Representative for California's 29th congressional district, 2013-2020"
"Daines, Steve","Junior Senator for Montana, 2015-2020"
"Davids, Sharice","Representative for Kansas's 3rd congressional district, 2019-2020"
"Davidson, Warren","Representative for Ohio's 8th congressional district, 2016-2020"
"Davis, Danny","Representative for Illinois's 7th congressional district, 1997-2020"
"Davis, Rodney","Representative for Illinois's 13th congressional district, 2013-2020"
"Davis, Susan","Representative for California's 53rd congressional district, 2003-2020"
"DeFazio, Peter","Representative for Oregon's 4th congressional district, 1987-2020"
"DeGette, Diana","Representative for Colorado's 1st congressional district, 1997-2020"
"DeLauro, Rosa","Representative for Connecticut's 3rd congressional district, 1991-2020"
"DeSaulnier, Mark","Representative for California's 11th congressional district, 2015-2020"
"Dean, Madeleine","Representative for Pennsylvania's 4th congressional district, 2019-2020"
"DelBene, Suzan","Representative for Washington's 1st congressional district, 2012-2020"
"Delgado, Antonio","Representative for New York's 19th congressional district, 2019-2020"
"Demings, Val","Representative for Florida's 10th congressional district, 2017-2020"
"DesJarlais, Scott","Representative for Tennessee's 4th congressional district, 2011-2020"
"Deutch, Theodore","Representative for Florida's 22nd congressional district, 2017-2020"
"Diaz-Balart, Mario","Representative for Florida's 25th congressional district, 2013-2020"
"Dingell, Debbie","Representative for Michigan's 12th congressional district, 2015-2020"
"Doggett, Lloyd","Representative for Texas's 35th congressional district, 2013-2020"
"Doyle, Michael “Mike”","Representative for Pennsylvania's 18th congressional district, 2019-2020"
"Duckworth, Tammy","Junior Senator for Illinois, 2017-2022"
"Duncan, Jeff","Representative for South Carolina's 3rd congressional district, 2011-2020"
"Dunn, Neal","Representative for Florida's 2nd congressional district, 2017-2020"
"Durbin, Richard","Senior Senator for Illinois, 1997-2020"
"Emmer, Tom","Representative for Minnesota's 6th congressional district, 2015-2020"
"Engel, Eliot","Representative for New York's 16th congressional district, 2013-2020"
"Enzi, Michael","Senior Senator for Wyoming, 1997-2020"
"Ernst, Joni","Junior Senator for Iowa, 2015-2020"
"Escobar, Veronica","Representative for Texas's 16th congressional district, 2019-2020"
"Eshoo, Anna","Representative for California's 18th congressional district, 2013-2020"
"Espaillat, Adriano","Representative for New York's 13th congressional district, 2017-2020"
"Estes, Ron","Representative for Kansas's 4th congressional district, 2017-2020"
"Evans, Dwight","Representative for Pennsylvania's 3rd congressional district, 2019-2020"
"Feinstein, Dianne","Senior Senator for California, 1992-2024"
"Ferguson, Drew","Representative for Georgia's 3rd congressional district, 2017-2020"
"Finkenauer, Abby","Representative for Iowa's 1st congressional district, 2019-2020"
"Fischer, Deb","Senior Senator for Nebraska, 2013-2024"
"Fitzpatrick, Brian","Representative for Pennsylvania's 1st congressional district, 2019-2020"
"Fleischmann, Charles “Chuck”","Representative for Tennessee's 3rd congressional district, 2011-2020"
"Fletcher, Lizzie","Representative for Texas's 7th congressional district, 2019-2020"
"Flores, Bill","Representative for Texas's 17th congressional district, 2011-2020"
"Fortenberry, Jeff","Representative for Nebraska's 1st congressional district, 2005-2020"
"Foster, Bill","Representative for Illinois's 11th congressional district, 2013-2020"
"Foxx, Virginia","Representative for North Carolina's 5th congressional district, 2005-2020"
"Frankel, Lois","Representative for Florida's 21st congressional district, 2017-2020"
"Fudge, Marcia","Representative for Ohio's 11th congressional district, 2008-2020"
"Fulcher, Russ","Representative for Idaho's 1st congressional district, 2019-2020"
"Gabbard, Tulsi","Representative for Hawaii's 2nd congressional district, 2013-2020"
"Gaetz, Matt","Representative for Florida's 1st congressional district, 2017-2020"
"Gallagher, Mike","Representative for Wisconsin's 8th congressional district, 2017-2020"
