Congressmember Name,Congressmember Role
"Rooney, Francis","Representative for Florida's 19th congressional district, 2017-2020"
"Rose, John","Representative for Tennessee's 6th congressional district, 2019-2020"
"Rose, Max","Representative for New York's 11th congressional district, 2019-2020"
"Rosen, Jacky","Junior Senator for Nevada, 2019-2024"
"Rouda, Harley","Representative for California's 48th congressional district, 2019-2020"
"Rounds, Mike","Junior Senator for South Dakota, 2015-2020"
"Rouzer, David","Representative for North Carolina's 7th congressional district, 2015-2020"
"Roy, Chip","Representative for Texas's 21st congressional district, 2019-2020"
"Roybal-Allard, Lucille","Representative for California's 40th congressional district, 2013-2020"
"Rubio, Marco","Senior Senator for Florida, 2011-2022"
"Ruiz, Raul","Representative for California's 36th congressional district, 2013-2020"
"Ruppersberger, A. Dutch","Representative for Maryland's 2nd congressional district, 2003-2020"
"Rush, Bobby","Representative for Illinois's 1st congressional district, 1993-2020"
"Rutherford, John","Representative for Florida's 4th congressional district, 2017-2020"
"Ryan, Tim","Representative for Ohio's 13th congressional district, 2013-2020"
"Sablan, Gregorio","Representative for the Northern Mariana Islands, 2009-2020"
"San Nicolas, Michael","Representative for Guam, 2019-2020"
"Sanders, Bernard “Bernie”","Junior Senator for Vermont, 2007-2024"
"Sarbanes, John","Representative for Maryland's 3rd congressional district, 2007-2020"
"Sasse, Benjamin","Junior Senator for Nebraska, 2015-2020"
"Scalise, Steve","Representative for Louisiana's 1st congressional district, 2008-2020"
"Scanlon, Mary","Representative for Pennsylvania's 5th congressional district, 2019-2020"
"Schakowsky, Janice “Jan”","Representative for Illinois's 9th congressional district, 1999-2020"
"Schatz, Brian","Senior Senator for Hawaii, 2012-2022"
"Schiff, Adam","Representative for California's 28th congressional district, 2013-2020"
"Schneider, Bradley","Representative for Illinois's 10th congressional district, 2017-2020"
"Schrader, Kurt","Representative for Oregon's 5th congressional district, 2009-2020"
"Schrier, Kim","Representative for Washington's 8th congressional district, 2019-2020"
"Schumer, Charles “Chuck”","Senior Senator for New York, 1999-2022"
"Schweikert, David","Representative for Arizona's 6th congressional district, 2013-2020"
"Scott, Austin","Representative for Georgia's 8th congressional district, 2011-2020"
"Scott, David","Representative for Georgia's 13th congressional district, 2003-2020"
"Scott, Rick","Junior Senator for Florida, 2019-2024"
"Scott, Robert “Bobby”","Representative for Virginia's 3rd congressional district, 1993-2020"
"Scott, Tim","Junior Senator for South Carolina, 2013-2022"
"Sensenbrenner, James","Representative for Wisconsin's 5th congressional district, 2003-2020"
"Serrano, José","Representative for New York's 15th congressional district, 2013-2020"
"Sewell, Terri","Representative for Alabama's 7th congressional district, 2011-2020"
"Shaheen, Jeanne","Senior Senator for New Hampshire, 2009-2020"
"Shalala, Donna","Representative for Florida's 27th congressional district, 2019-2020"
"Shelby, Richard","Senior Senator for Alabama, 1987-2022"
"Sherman, Brad","Representative for California's 30th congressional district, 2013-2020"
"Sherrill, Mikie","Representative for New Jersey's 11th congressional district, 2019-2020"
"Shimkus, John","Representative for Illinois's 15th congressional district, 2013-2020"
"Simpson, Michael “Mike”","Representative for Idaho's 2nd congressional district, 1999-2020"
"Sinema, Kyrsten","Senior Senator for Arizona, 2019-2024"
"Sires, Albio","Representative for New Jersey's 8th congressional district, 2013-2020"
"Slotkin, Elissa","Representative for Michigan's 8th congressional district, 2019-2020"
"Smith, Adam","Representative for Washington's 9th congressional district, 1997-2020"
"Smith, Adrian","Representative for Nebraska's 3rd congressional district, 2007-2020"
"Smith, Christopher “Chris”","Representative for New Jersey's 4th congressional district, 1981-2020"
"Smith, Jason","Representative for Missouri's 8th congressional district, 2013-2020"
"Smith, Tina","Junior Senator for Minnesota, 2018-2020"
"Smucker, Lloyd","Representative for Pennsylvania's 11th congressional district, 2019-2020"
"Soto, Darren","Representative for Florida's 9th congressional district, 2017-2020"
"Spanberger, Abigail","Representative for Virginia's 7th congressional district, 2019-2020"
"Spano, Ross","Representative for Florida's 15th congressional district, 2019-2020"
"Speier, Jackie","Representative for California's 14th congressional district, 2013-2020"
"Stabenow, Debbie","Senior Senator for Michigan, 2001-2024"
"Stanton, Greg","Representative for Arizona's 9th congressional district, 2019-2020"
"Stauber, Pete","Representative for Minnesota's 8th congressional district, 2019-2020"
"Stefanik, Elise","Representative for New York's 21st congressional district, 2015-2020"
"Steil, Bryan","Representative for Wisconsin's 1st congressional district, 2019-2020"
"Steube, Gregory","Representative for Florida's 17th congressional district, 2019-2020"
"Stevens, Haley","Representative for Michigan's 11th congressional district, 2019-2020"
"Stewart, Chris","Representative for Utah's 2nd congressional district, 2013-2020"
"Stivers, Steve","Representative for Ohio's 15th congressional district, 2011-2020"
"Sullivan, Dan","Junior Senator for Alaska, 2015-2020"
"Suozzi, Thomas","Representative for New York's 3rd congressional district, 2017-2020"
"Swalwell, Eric","Representative for California's 15th congressional district, 2013-2020"
"Sánchez, Linda","Representative for California's 38th congressional district, 2013-2020"
"Takano, Mark","Representative for California's 41st congressional district, 2013-2020"
"Taylor, Van","Representative for Texas's 3rd congressional district, 2019-2020"
"Tester, Jon","Senior Senator for Montana, 2007-2024"
"Thompson, Bennie","Representative for Mississippi's 2nd congressional district, 1993-2020"
"Thompson, Glenn","Representative for Pennsylvania's 15th congressional district, 2019-2020"
"Thompson, Mike","Representative for California's 5th congressional district, 2013-2020"
"Thornberry, Mac","Representative for Texas's 13th congressional district, 1995-2020"
"Thune, John","Senior Senator for South Dakota, 2005-2022"
"Tillis, Thom","Junior Senator for North Carolina, 2015-2020"
"Timmons, William","Representative for South Carolina's 4th congressional district, 2019-2020"
"Tipton, Scott","Representative for Colorado's 3rd congressional district, 2011-2020"
"Titus, Dina","Representative for Nevada's 1st congressional district, 2013-2020"
"Tlaib, Rashida","Representative for Michigan's 13th congressional district, 2019-2020"
"Tonko, Paul","Representative for New York's 20th congressional district, 2013-2020"
"Toomey, Patrick “Pat”","Junior Senator for Pennsylvania, 2011-2022"
"Torres Small, Xochitl","Representative for New Mexico's 2nd congressional district, 2019-2020"
"Torres, Norma","Representative for California's 35th congressional district, 2015-2020"
"Trahan, Lori","Representative for Massachusetts's 3rd congressional district, 2019-2020"
"Trone, David","Representative for Maryland's 6th congressional district, 2019-2020"
"Turner, Michael","Representative for Ohio's 10th congressional district, 2013-2020"
"Udall, Tom","Senior Senator for New Mexico, 2009-2020"
"Underwood, Lauren","Representative for Illinois's 14th congressional district, 2019-2020"
"Upton, Fred","Representative for Michigan's 6th congressional district, 1993-2020"
"Van Drew, Jefferson","Representative for New Jersey's 2nd congressional district, 2019-2020"
"Van Hollen, Chris","Junior Senator for Maryland, 2017-2022"
"Vargas, Juan","Representative for California's 51st congressional district, 2013-2020"
"Veasey, Marc","Representative for Texas's 33rd congressional district, 2013-2020"
"Vela, Filemon","Representative for Texas's 34th congressional district, 2013-2020"
"Velázquez, Nydia","Representative for New York's 7th congressional district, 2013-2020"
"Visclosky, Peter","Representative for Indiana's 1st congressional district, 1985-2020"
"Wagner, Ann","Representative for Missouri's 2nd congressional district, 2013-2020"
"Walberg, Tim","Representative for Michigan's 7th congressional district, 2011-2020"
"Walden, Greg","Representative for Oregon's 2nd congressional district, 1999-2020"
"Walker, Mark","Representative for North Carolina's 6th congressional district, 2015-2020"
"Walorski, Jackie","Representative for Indiana's 2nd congressional district, 2013-2020"
"Waltz, Michael","Representative for Florida's 6th congressional district, 2019-2020"
"Warner, Mark","Senior Senator for Virginia, 2009-2020"
"Warren, Elizabeth","Senior Senator for Massachusetts, 2013-2024"
"Wasserman Schultz, Debbie","Representative for Florida's 23rd congressional district, 2013-2020"
"Waters, Maxine","Representative for California's 43rd congressional district, 2013-2020"
"Watkins, Steven","Representative for Kansas's 2nd congressional district, 2019-2020"
"Watson Coleman, Bonnie","Representative for New Jersey's 12th congressional district, 2015-2020"
"Weber, Randy","Representative for Texas's 14th congressional district, 2013-2020"
"Webster, Daniel","Representative for Florida's 11th congressional district, 2017-2020"
"Welch, Peter","Representative for Vermont At Large, 2007-2020"
"Wenstrup, Brad","Representative for Ohio's 2nd congressional district, 2013-2020"
"Westerman, Bruce","Representative for Arkansas's 4th congressional district, 2015-2020"
"Wexton, Jennifer","Representative for Virginia's 10th congressional district, 2019-2020"
"Whitehouse, Sheldon","Junior Senator for Rhode Island, 2007-2024"
"Wicker, Roger","Senior Senator for Mississippi, 2007-2024"
"Wild, Susan","Representative for Pennsylvania's 7th congressional district, 2019-2020"
"Williams, Roger","Representative for Texas's 25th congressional district, 2013-2020"
"Wilson, Frederica","Representative for Florida's 24th congressional district, 2013-2020"
"Wilson, Joe","Representative for South Carolina's 2nd congressional district, 2001-2020"
"Wittman, Robert","Representative for Virginia's 1st congressional district, 2007-2020"
"Womack, Steve","Representative for Arkansas's 3rd congressional district, 2011-2020"
"Woodall, Rob","Representative for Georgia's 7th congressional district, 2011-2020"
"Wright, Ron","Representative for Texas's 6th congressional district, 2019-2020"
"Wyden, Ron","Senior Senator for Oregon, 1996-2022"
"Yarmuth, John","Representative for Kentucky's 3rd congressional district, 2007-2020"
"Yoho, Ted","Representative for Florida's 3rd congressional district, 2013-2020"
"Young, Don","Representative for Alaska At Large, 1973-2020"
"Young, Todd","Senior Senator for Indiana, 2017-2022"
"Zeldin, Lee","Representative for New York's 1st congressional district, 2015-2020"
